id,x,y,tx,ty
0,-10.0,-10.0,1.0,0.0
1,-8.0,-10.0,1.0,0.0
2,-6.0,-10.0,1.0,0.0
3,-4.0,-10.0,1.0,0.0
4,-2.0,-10.0,1.0,0.0
5,0.0,-10.0,1.0,0.0
6,2.0,-10.0,1.0,0.0
7,4.0,-10.0,1.0,0.0
8,6.0,-10.0,1.0,0.0
9,8.0,-10.0,1.0,0.0
10,10.0,-10.0,0.0,1.0
11,10.0,-8.0,0.0,1.0
12,10.0,-6.0,0.0,1.0
13,10.0,-4.0,0.0,1.0
14,10.0,-2.0,0.0,1.0
15,10.0,0.0,0.0,1.0
16,10.0,2.0,0.0,1.0
17,10.0,4.0,0.0,1.0
18,10.0,6.0,0.0,1.0
19,10.0,8.0,0.0,1.0
20,10.0,10.0,-1.0,0.0
21,8.0,10.0,-1.0,0.0
22,6.0,10.0,-1.0,0.0
23,4.0,10.0,-1.0,0.0
24,2.0,10.0,-1.0,0.0
25,0.0,10.0,-1.0,0.0
26,-2.0,10.0,-1.0,0.0
27,-4.0,10.0,-1.0,0.0
28,-6.0,10.0,-1.0,0.0
29,-8.0,10.0,-1.0,0.0
30,-10.0,10.0,0.0,-1.0
31,-10.0,8.0,0.0,-1.0
32,-10.0,6.0,0.0,-1.0
33,-10.0,4.0,0.0,-1.0
34,-10.0,2.0,0.0,-1.0
35,-10.0,0.0,0.0,-1.0
36,-10.0,-2.0,0.0,-1.0
37,-10.0,-4.0,0.0,-1.0
38,-10.0,-6.0,0.0,-1.0
39,-10.0,-8.0,0.0,-1.0
40,-2.2583,8.1129,-0.1129,-0.9936
41,1.7759,-6.1917,0.5569,0.8306
42,-7.9545,6.5912,-0.8049,-0.5934
43,3.7453,-8.6295,0.9822,-0.1879
44,5.984,-5.1779,0.4154,0.9096
45,-5.6987,-3.5236,-0.9879,-0.1549
46,-1.225,-3.7579,-0.763,-0.6464
47,-6.4891,-3.7414,-0.6677,0.7444
48,-0.7907,5.1332,0.311,0.9504
49,0.2562,1.6635,0.9577,0.2877
50,1.9358,-5.9306,0.9176,0.3974
51,8.0799,8.3814,0.3587,-0.9334
52,-3.517,-7.2419,-0.4016,-0.9158
53,-1.0773,-6.8033,-0.9995,0.0303
54,-8.381,7.3678,-0.0551,0.9985
55,2.9254,-3.3892,-0.9921,-0.1258
56,0.8408,-5.6726,0.9818,-0.1899
57,4.9524,7.911,0.7895,-0.6138
58,1.7622,7.5937,0.8494,0.5278
59,-5.4723,-8.1859,-0.4558,0.8901
60,-2.0038,-4.1157,0.4748,-0.8801
61,-2.5784,-3.9432,-0.9642,-0.2651
62,-6.4634,5.4395,0.8923,0.4515
63,8.764,4.9004,0.3167,0.9485
64,-8.9006,5.6783,-0.2678,-0.9635
65,4.1221,4.8829,0.8937,0.4486
66,-2.5476,-6.9144,0.6523,-0.7579
67,2.2194,-3.0438,0.9213,0.3888
68,-3.4023,-3.1467,-0.1278,-0.9918
69,2.476,6.9698,-0.9848,0.1737
70,-6.8473,3.8384,0.0677,-0.9977
71,1.103,4.8774,-0.9992,0.039
72,0.4092,-1.3043,0.9873,0.159
73,-7.058,-8.4343,-0.6546,-0.7559
74,-3.3416,0.1543,0.836,-0.5487
75,-4.5127,-1.6131,0.0349,-0.9994
76,-4.8816,-7.6144,-0.2472,0.969
77,-6.098,7.7346,0.3571,-0.9341
78,2.4013,6.6863,0.3309,-0.9437
79,-5.6417,7.0661,-0.9696,-0.2447
80,5.5339,7.1296,-0.4144,0.9101
