id,x,y,tx,ty
0,-9.6875,-10.0,1.0,0.0
1,-9.0625,-10.0,1.0,0.0
2,-8.4375,-10.0,1.0,0.0
3,-7.8125,-10.0,1.0,0.0
4,-7.1875,-10.0,1.0,0.0
5,-6.5625,-10.0,1.0,0.0
6,-5.9375,-10.0,1.0,0.0
7,-5.3125,-10.0,1.0,0.0
8,-4.6875,-10.0,1.0,0.0
9,-4.0625,-10.0,1.0,0.0
10,-3.4375,-10.0,1.0,0.0
11,-2.8125,-10.0,1.0,0.0
12,-2.1875,-10.0,1.0,0.0
13,-1.5625,-10.0,1.0,0.0
14,-0.9375,-10.0,1.0,0.0
15,-0.3125,-10.0,1.0,0.0
16,0.3125,-10.0,1.0,0.0
17,0.9375,-10.0,1.0,0.0
18,1.5625,-10.0,1.0,0.0
19,2.1875,-10.0,1.0,0.0
20,2.8125,-10.0,1.0,0.0
21,3.4375,-10.0,1.0,0.0
22,4.0625,-10.0,1.0,0.0
23,4.6875,-10.0,1.0,0.0
24,5.3125,-10.0,1.0,0.0
25,5.9375,-10.0,1.0,0.0
26,6.5625,-10.0,1.0,0.0
27,7.1875,-10.0,1.0,0.0
28,7.8125,-10.0,1.0,0.0
29,8.4375,-10.0,1.0,0.0
30,9.0625,-10.0,1.0,0.0
31,9.6875,-10.0,1.0,0.0
32,10.0,-9.6875,0.0,1.0
33,10.0,-9.0625,0.0,1.0
34,10.0,-8.4375,0.0,1.0
35,10.0,-7.8125,0.0,1.0
36,10.0,-7.1875,0.0,1.0
37,10.0,-6.5625,0.0,1.0
38,10.0,-5.9375,0.0,1.0
39,10.0,-5.3125,0.0,1.0
40,10.0,-4.6875,0.0,1.0
41,10.0,-4.0625,0.0,1.0
42,10.0,-3.4375,0.0,1.0
43,10.0,-2.8125,0.0,1.0
44,10.0,-2.1875,0.0,1.0
45,10.0,-1.5625,0.0,1.0
46,10.0,-0.9375,0.0,1.0
47,10.0,-0.3125,0.0,1.0
48,10.0,0.3125,0.0,1.0
49,10.0,0.9375,0.0,1.0
50,10.0,1.5625,0.0,1.0
51,10.0,2.1875,0.0,1.0
52,10.0,2.8125,0.0,1.0
53,10.0,3.4375,0.0,1.0
54,10.0,4.0625,0.0,1.0
55,10.0,4.6875,0.0,1.0
56,10.0,5.3125,0.0,1.0
57,10.0,5.9375,0.0,1.0
58,10.0,6.5625,0.0,1.0
59,10.0,7.1875,0.0,1.0
60,10.0,7.8125,0.0,1.0
61,10.0,8.4375,0.0,1.0
62,10.0,9.0625,0.0,1.0
63,10.0,9.6875,0.0,1.0
64,9.6875,10.0,-1.0,0.0
65,9.0625,10.0,-1.0,0.0
66,8.4375,10.0,-1.0,0.0
67,7.8125,10.0,-1.0,0.0
68,7.1875,10.0,-1.0,0.0
69,6.5625,10.0,-1.0,0.0
70,5.9375,10.0,-1.0,0.0
71,5.3125,10.0,-1.0,0.0
72,4.6875,10.0,-1.0,0.0
73,4.0625,10.0,-1.0,0.0
74,3.4375,10.0,-1.0,0.0
75,2.8125,10.0,-1.0,0.0
76,2.1875,10.0,-1.0,0.0
77,1.5625,10.0,-1.0,0.0
78,0.9375,10.0,-1.0,0.0
79,0.3125,10.0,-1.0,0.0
80,-0.3125,10.0,-1.0,0.0
81,-0.9375,10.0,-1.0,0.0
82,-1.5625,10.0,-1.0,0.0
83,-2.1875,10.0,-1.0,0.0
84,-2.8125,10.0,-1.0,0.0
85,-3.4375,10.0,-1.0,0.0
86,-4.0625,10.0,-1.0,0.0
87,-4.6875,10.0,-1.0,0.0
88,-5.3125,10.0,-1.0,0.0
89,-5.9375,10.0,-1.0,0.0
90,-6.5625,10.0,-1.0,0.0
91,-7.1875,10.0,-1.0,0.0
92,-7.8125,10.0,-1.0,0.0
93,-8.4375,10.0,-1.0,0.0
94,-9.0625,10.0,-1.0,0.0
95,-9.6875,10.0,-1.0,0.0
96,-10.0,9.6875,0.0,-1.0
97,-10.0,9.0625,0.0,-1.0
98,-10.0,8.4375,0.0,-1.0
99,-10.0,7.8125,0.0,-1.0
100,-10.0,7.1875,0.0,-1.0
101,-10.0,6.5625,0.0,-1.0
102,-10.0,5.9375,0.0,-1.0
103,-10.0,5.3125,0.0,-1.0
104,-10.0,4.6875,0.0,-1.0
105,-10.0,4.0625,0.0,-1.0
106,-10.0,3.4375,0.0,-1.0
107,-10.0,2.8125,0.0,-1.0
108,-10.0,2.1875,0.0,-1.0
109,-10.0,1.5625,0.0,-1.0
110,-10.0,0.9375,0.0,-1.0
111,-10.0,0.3125,0.0,-1.0
112,-10.0,-0.3125,0.0,-1.0
113,-10.0,-0.9375,0.0,-1.0
114,-10.0,-1.5625,0.0,-1.0
115,-10.0,-2.1875,0.0,-1.0
116,-10.0,-2.8125,0.0,-1.0
117,-10.0,-3.4375,0.0,-1.0
118,-10.0,-4.0625,0.0,-1.0
119,-10.0,-4.6875,0.0,-1.0
120,-10.0,-5.3125,0.0,-1.0
121,-10.0,-5.9375,0.0,-1.0
122,-10.0,-6.5625,0.0,-1.0
123,-10.0,-7.1875,0.0,-1.0
