id,x,y,tx,ty
0,-9.2857,-10.0,1.0,0.0
1,-7.8571,-10.0,1.0,0.0
2,-6.4286,-10.0,1.0,0.0
3,-5.0,-10.0,1.0,0.0
4,-3.5714,-10.0,1.0,0.0
5,-2.1429,-10.0,1.0,0.0
6,-0.7143,-10.0,1.0,0.0
7,0.7143,-10.0,1.0,0.0
8,2.1429,-10.0,1.0,0.0
9,3.5714,-10.0,1.0,0.0
10,5.0,-10.0,1.0,0.0
11,6.4286,-10.0,1.0,0.0
12,7.8571,-10.0,1.0,0.0
13,9.2857,-10.0,1.0,0.0
14,10.0,-9.2857,0.0,1.0
15,10.0,-7.8571,0.0,1.0
16,10.0,-6.4286,0.0,1.0
17,10.0,-5.0,0.0,1.0
18,10.0,-3.5714,0.0,1.0
19,10.0,-2.1429,0.0,1.0
20,10.0,-0.7143,0.0,1.0
21,10.0,0.7143,0.0,1.0
22,10.0,2.1429,0.0,1.0
23,10.0,3.5714,0.0,1.0
24,10.0,5.0,0.0,1.0
25,10.0,6.4286,0.0,1.0
26,10.0,7.8571,0.0,1.0
27,10.0,9.2857,0.0,1.0
28,9.2857,10.0,-1.0,0.0
29,7.8571,10.0,-1.0,0.0
30,6.4286,10.0,-1.0,0.0
31,5.0,10.0,-1.0,0.0
32,3.5714,10.0,-1.0,0.0
33,2.1429,10.0,-1.0,0.0
34,0.7143,10.0,-1.0,0.0
35,-0.7143,10.0,-1.0,0.0
36,-2.1429,10.0,-1.0,0.0
37,-3.5714,10.0,-1.0,0.0
38,-5.0,10.0,-1.0,0.0
39,-6.4286,10.0,-1.0,0.0
40,-7.8571,10.0,-1.0,0.0
41,-9.2857,10.0,-1.0,0.0
42,-10.0,9.2857,0.0,-1.0
43,-10.0,7.8571,0.0,-1.0
44,-10.0,6.4286,0.0,-1.0
45,-10.0,5.0,0.0,-1.0
46,-10.0,3.5714,0.0,-1.0
47,-10.0,2.1429,0.0,-1.0
48,-10.0,0.7143,0.0,-1.0
49,-10.0,-0.7143,0.0,-1.0
50,-10.0,-2.1429,0.0,-1.0
51,-10.0,-3.5714,0.0,-1.0
52,-10.0,-5.0,0.0,-1.0
53,-10.0,-6.4286,0.0,-1.0
54,-10.0,-7.8571,0.0,-1.0
55,-10.0,-9.2857,0.0,-1.0
56,5.9172,-8.958,-0.3405,-0.9402
57,-3.1326,-4.7233,-0.1387,0.9903
58,2.7727,8.0135,-0.8436,-0.537
59,-4.8857,0.1742,-0.6421,0.7666
60,4.6499,-1.1651,0.839,0.5442
61,3.8244,-3.7893,0.8681,-0.4965
62,0.0099,5.0593,0.6527,0.7576
63,6.6325,-0.0885,0.9515,-0.3076
64,-8.7513,7.9071,-0.943,0.3328
65,-4.8911,5.7465,0.3964,0.9181
66,-2.8336,-1.8103,-0.9655,-0.2602
67,-2.7769,-5.6884,0.6979,-0.7162
68,-3.764,-1.8816,-0.1115,-0.9938
69,3.7611,-0.2105,0.348,-0.9375
